Job Name,Company Name,Tag,Level,Location
Frontend App Developer Hà Nội,Công ty cổ phần truyền thông đa phương tiện Gia Minh,Chuyên môn Frontend Developer,Nhân viên,"- Hà Nội: Tầng 8 Tòa Hội Nhà báo Việt Nam, Dương Đình Nghệ, Cầu Giấy"
Frontend App Developer Hà Nội,Công ty cổ phần truyền thông đa phương tiện Gia Minh,Thương mại điện tử,Nhân viên,"- Hà Nội: Tầng 8 Tòa Hội Nhà báo Việt Nam, Dương Đình Nghệ, Cầu Giấy"
Manual Tester Dự Án Tài Chính,Công ty Cổ phần Giải pháp Công nghệ TTC Việt Nam,Chuyên môn Manual Tester,Nhân viên,- Hà Nội: Cầu Giấy
Manual Tester Dự Án Tài Chính,Công ty Cổ phần Giải pháp Công nghệ TTC Việt Nam,Nghỉ thứ 7,Nhân viên,- Hà Nội: Cầu Giấy
Angular Developer Bank,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,Chuyên môn Frontend Developer,Trưởng nhóm,- Hà Nội
Angular Developer Bank,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,An ninh mạng,Trưởng nhóm,- Hà Nội
Angular Developer Bank,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,IT - Phần cứng và máy tính,Trưởng nhóm,- Hà Nội
Angular Developer Bank,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,IT - Phần mềm,Trưởng nhóm,- Hà Nội
Angular Developer Bank,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,Nghỉ thứ 7,Trưởng nhóm,- Hà Nội
Flutter Developer,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,Chuyên môn Mobile Developer,Trưởng nhóm,"- Hà Nội: 21 Cát Linh, Đống Đa"
Flutter Developer,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,Nghỉ thứ 7,Trưởng nhóm,"- Hà Nội: 21 Cát Linh, Đống Đa"
PHP Developer,Công ty cổ phần BEE TECH ASIA,Chuyên môn Backend Developer,Nhân viên,"- Hà Nội: Tầng 4, TTTM Hà Thành, 102 Thái Thịnh, Trung Liêt, Đống Đa, Đống Đa"
PHP Developer,Công ty cổ phần BEE TECH ASIA,IT - Phần mềm,Nhân viên,"- Hà Nội: Tầng 4, TTTM Hà Thành, 102 Thái Thịnh, Trung Liêt, Đống Đa, Đống Đa"
PHP Developer,Công ty cổ phần BEE TECH ASIA,Từ 25 tuổi trở xuống,Nhân viên,"- Hà Nội: Tầng 4, TTTM Hà Thành, 102 Thái Thịnh, Trung Liêt, Đống Đa, Đống Đa"
Chuyên Viên Phân Tích Nghiệp Vụ BA,CÔNG TY CỔ PHẦN MẠNG Y TẾ CỘNG ĐỒNG,Chuyên môn Business Analyst (Phân tích nghiệp vụ),Trưởng nhóm,"- Hà Nội: Số 676 Hoàng Hoa Thám, phường Bưởi, Tây Hồ"
Chuyên Viên Quản Lý Rủi Ro,CÔNG TY CỔ PHẦN CÔNG NGHỆ AN NINH MẠNG QUỐC GIA VIỆT NAM,Chuyên môn Tuân thủ và kiểm toán bảo mật,Nhân viên,"- Hà Nội: Dương Đình Nghệ, Cầu Giấy"
Chuyên Viên Quản Lý Rủi Ro,CÔNG TY CỔ PHẦN CÔNG NGHỆ AN NINH MẠNG QUỐC GIA VIỆT NAM,IT - Phần cứng và máy tính,Nhân viên,"- Hà Nội: Dương Đình Nghệ, Cầu Giấy"
Chuyên Viên Quản Lý Rủi Ro,CÔNG TY CỔ PHẦN CÔNG NGHỆ AN NINH MẠNG QUỐC GIA VIỆT NAM,IT - Phần mềm,Nhân viên,"- Hà Nội: Dương Đình Nghệ, Cầu Giấy"
Chuyên Viên Quản Lý Rủi Ro,CÔNG TY CỔ PHẦN CÔNG NGHỆ AN NINH MẠNG QUỐC GIA VIỆT NAM,An ninh mạng,Nhân viên,"- Hà Nội: Dương Đình Nghệ, Cầu Giấy"
Chuyên Viên Quản Lý Rủi Ro,CÔNG TY CỔ PHẦN CÔNG NGHỆ AN NINH MẠNG QUỐC GIA VIỆT NAM,Nghỉ thứ 7,Nhân viên,"- Hà Nội: Dương Đình Nghệ, Cầu Giấy"
Chuyên Viên Quản Lý Rủi Ro,CÔNG TY CỔ PHẦN CÔNG NGHỆ AN NINH MẠNG QUỐC GIA VIỆT NAM,Tiếng Anh TOEIC 500,Nhân viên,"- Hà Nội: Dương Đình Nghệ, Cầu Giấy"
Chuyên Viên IT,Công ty Cổ phần Đầu Tư K&G Việt Nam,Chuyên môn IT Helpdesk/IT support,Nhân viên,"- Hà Nội: Tòa nhà sông Đà, Phạm Hùng, Nam Từ Liêm"
Chuyên Viên IT,Công ty Cổ phần Đầu Tư K&G Việt Nam,IT - Phần mềm,Nhân viên,"- Hà Nội: Tòa nhà sông Đà, Phạm Hùng, Nam Từ Liêm"
Chuyên Viên IT,Công ty Cổ phần Đầu Tư K&G Việt Nam,IT - Phần cứng và máy tính,Nhân viên,"- Hà Nội: Tòa nhà sông Đà, Phạm Hùng, Nam Từ Liêm"
Hà Nội Đi Làm Ngay,CÔNG TY TNHH TRUYỀN THÔNG SNET GROUP,Chuyên môn Kỹ thuật IT,Nhân viên,"- Hà Nội: B10-16 Khu B Geleximco đường Lê Trọng Tấn, phường Dương Nội, Hà Đông"
Hà Nội Đi Làm Ngay,CÔNG TY TNHH TRUYỀN THÔNG SNET GROUP,IT - Phần mềm,Nhân viên,"- Hà Nội: B10-16 Khu B Geleximco đường Lê Trọng Tấn, phường Dương Nội, Hà Đông"
Tester QA/QC,CÔNG TY TNHH GEMCOMMERCE,Chuyên môn Manual Tester,Quản lý / Giám sát,"- Hà Nội: Tòa Artemis, số 3 Lê Trọng Tấn, Thanh Xuân"
Tester QA/QC,CÔNG TY TNHH GEMCOMMERCE,IT - Phần mềm,Quản lý / Giám sát,"- Hà Nội: Tòa Artemis, số 3 Lê Trọng Tấn, Thanh Xuân"
Tester QA/QC,CÔNG TY TNHH GEMCOMMERCE,Thương mại điện tử,Quản lý / Giám sát,"- Hà Nội: Tòa Artemis, số 3 Lê Trọng Tấn, Thanh Xuân"
Tester QA/QC,CÔNG TY TNHH GEMCOMMERCE,Tiếng Anh Đọc hiểu,Quản lý / Giám sát,"- Hà Nội: Tòa Artemis, số 3 Lê Trọng Tấn, Thanh Xuân"
Tester QA/QC,CÔNG TY TNHH GEMCOMMERCE,Tuổi 23 - 30,Quản lý / Giám sát,"- Hà Nội: Tòa Artemis, số 3 Lê Trọng Tấn, Thanh Xuân"
Product Owner Quản Lý,Công ty CP Kinh doanh F88,Chuyên môn Product Owner/Product Manager,Trưởng nhóm,"- Hà Nội: Số 5 Nguyễn Thị Duệ, Phường Yên Hòa, Cầu Giấy"
Product Owner Quản Lý,Công ty CP Kinh doanh F88,IT - Phần mềm,Trưởng nhóm,"- Hà Nội: Số 5 Nguyễn Thị Duệ, Phường Yên Hòa, Cầu Giấy"
Product Owner Quản Lý,Công ty CP Kinh doanh F88,Tài chính,Trưởng nhóm,"- Hà Nội: Số 5 Nguyễn Thị Duệ, Phường Yên Hòa, Cầu Giấy"
Product Owner Quản Lý,Công ty CP Kinh doanh F88,Bán lẻ - Hàng tiêu dùng - FMCG,Trưởng nhóm,"- Hà Nội: Số 5 Nguyễn Thị Duệ, Phường Yên Hòa, Cầu Giấy"
Product Owner Quản Lý,Công ty CP Kinh doanh F88,Nghỉ thứ 7,Trưởng nhóm,"- Hà Nội: Số 5 Nguyễn Thị Duệ, Phường Yên Hòa, Cầu Giấy"
Đào Tạo IT Fresher,NashTech,Chuyên môn Công nghệ thông tin khác,Thực tập sinh,"- Hồ Chí Minh: 3rd Floor, Etown Building, No. 364 Cong Hoa Street, Tan Binh Ward, Ho Chi Minh City, Tân Bình - Hà Nội: 5th, 6th, and 7th Floors, HITC Building, No. 239 Xuan Thuy Street, Cau Giay Ward, Hanoi City, Cầu Giấy - Đà Nẵng: 19th Floor, VietinBank Building, No. 36 Tran Quoc Toan Street, Hai Chau Ward, Da Nang City, Hải Châu"
